chr	start	end	decoyID	SpliceAI_score	strand	rbpnet	prpf8	smb	n_categories	GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Adipose_b	Adipose_c	Adipose_d	Adrenal_b	Adrenal_c	Amnion	Astrocytes	Bladder_a	Bone_marrow_a	Bone_marrow_b	Bone_marrow_c	Brain_Endoth	Breast_a	Breast_Epith_a	Cerebellum_a	Cerebellum_c	Chorion	CL_293T	CL_EndoBH1C_a	CL_Gm12878	CL_HeLa	CL_K562	CL_LP1	CL_MB231	CL_MCF7	CL_PNT2	CL_SHSY5Y_noRA	CL_SHSY5Y_RA	Colon_b	Colon_sigmoid	Colon_transverse	Cortex	Decidua	Embr_2C_a_A	Embr_2C_a_B	Embr_4C_a_A	Embr_4C_a_B	Embr_4C_a_C	Embr_8C_a_A	Embr_8C_a_B	Embr_8C_a_C	Embr_8C_a_D	Embr_Cortex_13_17wpc	Embr_Forebrain_9_12wpc	Embr_Forebrain_St13_14	Embr_Forebrain_St17_20	Embr_Forebrain_St22_23	Embr_ICM_a_A	Embr_Morula_a_A	Embr_Morula_a_B	Embr_TE_a_A	Embr_TE_a_B	EndomStromCells	EndothCells	EpithelialCells	ESC_H1_a	ESC_H1_b	ESC_H1_c	ESC_H1_d	ESC_H9_a	ESC_H9_b	Fibroblasts	Frontal_Gyrus_old	Frontal_Gyrus_young	GLS_cells	Heart_a	Heart_b	Heart_c	HFDPC	HMEpC_a	iPS_a	iPS_b	Kidney_d	Kidney_e	Kidney_f	Liver_a	Liver_b	Liver_c	Lung_b	Lung_e	Lung_f	Lymph_node_b	Lymph_node_c	Melanocytes	Microglia	MonoNucCells	MSC	Muscle_b	Muscle_d	Muscle_e	NCC_Cranial_c	NCC_default_b	NCC_Enteric_b	NCC_Melano_biased_b	Neuroblastoma	Neurons	Neurons_Cortex_KCl_0h	Neurons_Cortex_KCl_1h	Neurons_Cortex_KCl_6h	NPC_a	NPC_b	Oligodendrocytes	Oocyte_a_A	Ovary_a	Ovary_b	Pancreas_Acinar_Old	Pancreas_Acinar_Young	Pancreas_Alpha_Old	Pancreas_Alpha_Young	Pancreas_Beta_Old	Pancreas_Beta_Young	Pancreas_Duct_Old	Pancreas_Duct_Young	Placenta_a	Placenta_b	Placenta_c	Placenta_Epith	Prostate_b	Prostate_c	Prostate_d	Retina_a	Retina_macular	Retina_peripheral	Skin_a	Skin_b	Skin_c	Skin_d	Small_intestine	Spleen_a	Spleen_b	Stomach_a	Stomach_b	Sup_Temporal_Gyrus	Testis_a	Testis_b	Testis_c	Thymus_a	Thymus_b	Thyroid_b	Thyroid_c	Thyroid_d	WBC_d	WBC_e	Whole_Brain_b	Zygote_a_A	psi_chr	intron_start	intron_end	intron_length	decoy_coord_1based	decoy_distance_from_canonical_5ss
chr22	19226515	19226516	CLTCL1_19226515	0.111551	-	0	1	0	1	CLTCL1	HsaINT0036764	chr22:19226384-19229837	3454	chr22:19229838-19229975=19226219-19226383:-	IR	16.07		0	34.88	12.52	0	46.15	23.04		9.6	14.47	0	15.52	32.12	0	13.99		3.94	5.77	0	4.11	1.51	0	0	12.79	0	13.85	16.05		30	34.88	19.67	0	0			0	0				100	14.22	14.44	16	6.67	4.82						0	33.01	11.06	9.68	8	20.45	5.08	14.63	30.26	1.91	0		6.67	0	8.76		10.53	8.63	84.16	64.1	30	0	0	0	35.53	46.15	30	11.39	0	0	0	46.15	100	40.68	22.34	0	4.85	0.72	36.18	0	0	0	0		9.82	10.47	5.08	0	0	39.13		12.5	9.68	54.1	0	52.73	60	48.15	61.64	87.97	60.25		56.25	0	36.77	11.3	0	22.22	0	5.56	0	21.79	11.85	30.17	39.38	6.67	35.29	7.89	46.15	30	46.15	4.84	28.28	0.63	34.88	100	28.21	6.04	7.44	2.78	0	5.77	0	chr22	19226384	19229837	3454	19226516	3321
chr22	19228199	19228200	CLTCL1_19228199	0.297849	-	1	0	1	2	CLTCL1	HsaINT0036764	chr22:19226384-19229837	3454	chr22:19229838-19229975=19226219-19226383:-	IR	16.07		0	34.88	12.52	0	46.15	23.04		9.6	14.47	0	15.52	32.12	0	13.99		3.94	5.77	0	4.11	1.51	0	0	12.79	0	13.85	16.05		30	34.88	19.67	0	0			0	0				100	14.22	14.44	16	6.67	4.82						0	33.01	11.06	9.68	8	20.45	5.08	14.63	30.26	1.91	0		6.67	0	8.76		10.53	8.63	84.16	64.1	30	0	0	0	35.53	46.15	30	11.39	0	0	0	46.15	100	40.68	22.34	0	4.85	0.72	36.18	0	0	0	0		9.82	10.47	5.08	0	0	39.13		12.5	9.68	54.1	0	52.73	60	48.15	61.64	87.97	60.25		56.25	0	36.77	11.3	0	22.22	0	5.56	0	21.79	11.85	30.17	39.38	6.67	35.29	7.89	46.15	30	46.15	4.84	28.28	0.63	34.88	100	28.21	6.04	7.44	2.78	0	5.77	0	chr22	19226384	19229837	3454	19228200	1637
chr17	59645817	59645818	CLTC_59645817	0.194737	+	0	1	1	2	CLTC	HsaINT0036741	chr17:59644484-59647397	2914	chr17:59644276-59644483=59647398-59647666:+	IR	2.73		0.43	0.6	0.95	0	2.25	0.81	7.73	2.1	3.04	0	0	2.85	5.51	5.86	0	0.68	0.33	1.09	0.39	0.31	0.17	0	1.39	0.64	0.62	0.71	1.93	2.7	5.87	0.91	0	0	0	0	0	0	0	0			1.24	1.29	0.38	1.47	1.63	0	0		0	0	0	1.14	0.62	0	0.58	0.55	0.41	0.4	0.07	0.37	0.68	0.9	5	0	1.41		1.8	0.53	8.96	0	0	0	1.43	0	1.89	0.43	4.81	3.6	0.8	0.11	0.14	0.64	5.62	6.79	1.45	0.72	1.89	0.49	0.33	0.68	0	0.19	0.2	11.11	0.29	0.5	0.57	0.38	0.55	4.76	0	0	0.34	4.44	8.72	10.51	14.83	10.03	14.77	1.86	2.95	0.27	1.89	1.31	0.89	1.08	0.4	0.15	11.86	1.06	3.33	1.83	1.14	3.94	2.76	0.76	8.19	0.12	26.19	1.68	0.76	0	2.51	0.65	8.52	4.55	2.42	0.79	0.72	0	1.25	2.28	0	chr17	59644484	59647397	2914	59645818	1334
chr17	59647335	59647336	CLTC_59647335	0.238095	+	0	0	1	1	CLTC	HsaINT0036741	chr17:59644484-59647397	2914	chr17:59644276-59644483=59647398-59647666:+	IR	2.73		0.43	0.6	0.95	0	2.25	0.81	7.73	2.1	3.04	0	0	2.85	5.51	5.86	0	0.68	0.33	1.09	0.39	0.31	0.17	0	1.39	0.64	0.62	0.71	1.93	2.7	5.87	0.91	0	0	0	0	0	0	0	0			1.24	1.29	0.38	1.47	1.63	0	0		0	0	0	1.14	0.62	0	0.58	0.55	0.41	0.4	0.07	0.37	0.68	0.9	5	0	1.41		1.8	0.53	8.96	0	0	0	1.43	0	1.89	0.43	4.81	3.6	0.8	0.11	0.14	0.64	5.62	6.79	1.45	0.72	1.89	0.49	0.33	0.68	0	0.19	0.2	11.11	0.29	0.5	0.57	0.38	0.55	4.76	0	0	0.34	4.44	8.72	10.51	14.83	10.03	14.77	1.86	2.95	0.27	1.89	1.31	0.89	1.08	0.4	0.15	11.86	1.06	3.33	1.83	1.14	3.94	2.76	0.76	8.19	0.12	26.19	1.68	0.76	0	2.51	0.65	8.52	4.55	2.42	0.79	0.72	0	1.25	2.28	0	chr17	59644484	59647397	2914	59647336	2852
chr17	59682627	59682628	CLTC_59682627	0.172227	+	1	0	0	1	CLTC	HsaINT0036744	chr17:59682429-59682628	200	chr17:59682271-59682428=59682629-59682793:+	IR	2.89		0.25	0	0.74	0	1.81	0.6	7.74	1.22	2.91	0	1.72	1.64	0.07	0.31	0	0.28	0.15	0.59	0.06	0.03	0	0	1.7	0	0.8	0.96	0.35	2.1	1.92	0	0.95	0	0	0	0	0	0	0	0	0	0.23	0.22	0.66	0.73	0.64	0	0	0	0	0	0	1.34	0.43	0.27	0.19	0.38	0.17	0	1.3	0.25	0.09	0.2	1.4	0	0.41		1.05	0.2	1.52	0.23	1.1	0	0.62	0.32	1.88	0.76	2.17	0.92	0.16	0.29	0.1	1.47	3.69	7.44	1.02	0	0	0.23	0.05	0	0	0	0.34	4.22	0.56	1	0.23	0.08	0.16	3.24	0	0	0.34	4.27	7.91	7.29	8.61	3.31	5.88	1.3	2.91	0.3	1.17	1.71	1.52	1.3	0.1	0.05	0	0.2	0	0.67	1.13	3.92	2.56	0.48	5.48	0.4	6.12	1.46	0.21	0	4.85	0.2	3.95	4.83	3.88	0.24	0.04	1.61	0.29	0.89	0	chr17	59682429	59682628	200	59682628	199
chr17	2696942	2696943	CLUH_2696942	0.104371	-	0	1	0	1	CLUH	HsaINT0086129	chr17:2696943-2697895	953	chr17:2697896-2698590=2696719-2696942:-	IR	3.1		2.57	0.19	1.92	0	0	0.95	0	0.53	0.76		0	2	5.92	3.09	0	3.71	0.98	1.74	5.91	1.13	1.5	1.22	7.5	0	2.41	3.29	0.8	1.61	4.72	4.13	0	0	8.12	0	45.83	0	0	0	9.09	0	2.56	3.44	0	3.03	4.85	0	0	15.79	0	0	0	1.62	2.21	2.88	1.01	2.33	2.51	2.17	0	1.9	4.27	7.8	8.89	0.54	5.06		7.31	1.25	3.74	1.15	3.6	6.15	7.29	2.29	3.43	2.07	8.33	7.15	2.5	2.83	0.99	0.63		6.38	5.28	0	0.87	1.29	1.98	6.85	5	2.61	0		0	0	0	1.41	2.22		0	2.33	1.75	5.66	5.41	20.07	20	5.14	17.41	5.08	0.99	1.15	5.8	2.86	10.51	0.33	2.61	5.5	0.76	0.7	0	0.19	5.96	6.62	10.85	4.51	10.48	2.11	6.75	3.77	1.87	0.67	3.13	1.55	0	0	5.25	0	3.92	3.43	1.08	2.86	0	chr17	2696943	2697895	953	2696943	952
chr12	22054776	22054777	CMAS_22054776	0.299878	+	0	0	1	1	CMAS	HsaINT0036857	chr12:22046564-22055148	8585	chr12:22046174-22046563=22055149-22055291:+	IR	3.88	6.27	1.86	1.13	0.8	0.87	16.67	0.69	8.89	1.33	2.59	0	2.74	3.66	3.32	1.3	0	1.96	1.24	2.86	0.62	1.9	0	0	4.58	0	3.49	2.95	3.08	3.36	12.14	0.93	0.76	7.32	0	0		0	0	3.23	0	0	2.78	5.48	3.31	6.27	5.52	0	0	0.61	0	0	0	6.21	7.74	2.82	0.66	1.59	0.71	1.92	0	3.27	2.39	5.85	2.78	0	4.07	2.47	15.82	2.97	2.71	0.13	12.82	3.12	6.56	0	4.98	0	3.45	10.66	2.63	1.23	1.05	4.31	0	28	13.76	0	0	0.74	4.19	0.31	0.34	0.29	3.57	0	6.81	4.35	4.88	1.37	1.23	3.7	0	1.01	1.86	21.43	30.43	7.25	5.13	7.44	26.67	9.43	7.87	6.56	1.49	3.45	4.84	1.18	2.61	0.82	1.75	0.54	0.16	1.27	2.47	6.88	10.61	4.27	6.61	4.48	54.17	2.81	0	0.38	6.12	1.07	23.08	15.15	1.96	1.6	3.36	14.96	0	2.83	0	chr12	22046564	22055148	8585	22054777	8213
chr16	81652161	81652162	CMIP_81652161	0.251049	+	0	0	1	1	CMIP	HsaINT0036885	chr16:81620927-81652202	31276	chr16:81620876-81620926=81652203-81652364:+	IR	1.98		0	0.97	1.91	0	8.33	1.46	5.88	0	0.85	0	5.45	16.22	0	2.76	0	0	0.17	1.05	0	0.14	0.42	0	8.04	0	3.03	7.69	4.62	12.07	5.98	1.03	0	0	0		0	0		0			0.3	0.58	0	1.4	1	0	0				0	5.57	6.57	0	0.87	0	0	2.5	3.03	2.19	0	0.29	7.04	0	5.26		17.53	2.76	3.12	0	5.88	4.76	3.75	0	21.05	2.44	21.28	3.85	0	0	0.27	5.88	0	6.25	19.27	0	0	0	2.2	0	0	0	0	0	2.04	4.55	0	0	0.74	0	0	0	0	11.11	10.71	14.72	9.97	29.63	10.84	8.43	13.76	0.54	5.04	2.24	11.56	6.67	0.79	0.48	0	0.17	0.24	7.1	3.46	10.56	5.06	2.14	6.14	0	0	2.87	0	0	11.76	0	11.11	9.91	4.76	0.94	0	0	0	0.44	0	chr16	81620927	81652202	31276	81652162	31235
chr16	81654685	81654686	CMIP_81654685	0.486619	+	0	0	1	1	CMIP	HsaINT0036886	chr16:81652365-81657774	5410	chr16:81652203-81652364=81657775-81657816:+	IR	2.78		0	6.06	3.64	0	10.45	2.8	12	0.14	0.32	0	1.46	40.54	0	3.25	0	0.67	0.31	0.3	0.35	0.19	0	0	4.81	1.23	15.79	10.34	1.23	12.27	10.65	0.52	0.64	0	0	0	0	0					0.75	2.15	2.91	0.99	1.53	0	0				3.03	12.63	9.09	0	3.95	0.44	2.35	0.34	2.04	0.65	0.3	0.51	8.82	1.85	23.29		9.33	5.58	8.86	0.84	1.33	0	6.48	0	14.94	2.44	33.33	2.93	0.55	0	0.53	3.23	3.03	6.49	11.94	0	7.69	0	1.28	1.12	0	0	6.67	0	4.14	6.31	5.02	1.55	0.96	0	0	0	0	6.67	7.69	14.2	13.79	17.33	12.03	3.23	37.14	0.66	7.34	5.8	9.13	17.97	2.65	1.72	0	1.55	1.93	6.48	5.93	15.54	15.38	3.26	19.91	0.26	10.98	6.24	0	0.29	29.03	0.24	19.35	22.28	19.57	1.9	0	0.37	0.14	1.61	0	chr16	81652365	81657774	5410	81654686	2321
chr16	81655637	81655638	CMIP_81655637	0.334358	+	1	0	0	1	CMIP	HsaINT0036886	chr16:81652365-81657774	5410	chr16:81652203-81652364=81657775-81657816:+	IR	2.78		0	6.06	3.64	0	10.45	2.8	12	0.14	0.32	0	1.46	40.54	0	3.25	0	0.67	0.31	0.3	0.35	0.19	0	0	4.81	1.23	15.79	10.34	1.23	12.27	10.65	0.52	0.64	0	0	0	0	0					0.75	2.15	2.91	0.99	1.53	0	0				3.03	12.63	9.09	0	3.95	0.44	2.35	0.34	2.04	0.65	0.3	0.51	8.82	1.85	23.29		9.33	5.58	8.86	0.84	1.33	0	6.48	0	14.94	2.44	33.33	2.93	0.55	0	0.53	3.23	3.03	6.49	11.94	0	7.69	0	1.28	1.12	0	0	6.67	0	4.14	6.31	5.02	1.55	0.96	0	0	0	0	6.67	7.69	14.2	13.79	17.33	12.03	3.23	37.14	0.66	7.34	5.8	9.13	17.97	2.65	1.72	0	1.55	1.93	6.48	5.93	15.54	15.38	3.26	19.91	0.26	10.98	6.24	0	0.29	29.03	0.24	19.35	22.28	19.57	1.9	0	0.37	0.14	1.61	0	chr16	81652365	81657774	5410	81655638	3273
chr16	81698837	81698838	CMIP_81698837	0.159925	+	0	1	1	2	CMIP	HsaINT0036877	chr16:81696668-81699684	3017	chr16:81696560-81696667=81699685-81699801:+	IR	12.25		3.43	0.76	1.63	2.64	0	1.12	6.12	1.66	3.72	0	3.83	21.24	4.15	2.94	2.22	0.91	1.37	1.25	1.64	1.17	0.27	0	2.32	2.21	0	27.85	0.58	12.3	8.94	0.95	0.55	0	0	0	0	1.07		0	0		3.84	6.39	7.01	15.56	11.15					0	2.17	8.53	9.82	1.33	2.4	0.27	1.89	0.26	0	0.34	0.81	1.97	5.39	0	8.15		16.15	5.26	0	0.47	5.14	0	3.43	0.76	18.31	2.1	8.2	3.69	1.36	1.04	0.61	2.97	0	7.4	12.32	0	0	5.41	1.66	0	1.38	0.48	3.93		0.49	1.23	2.37	0.82	0.35		0	2.19	2.45	1.49	13.33	14.08	12.64	8.68	13.72	5.84	6.09	4.97	5.9	4.9	7.1	5.97	3.24	1.15	1.91	0.12	0.52	5.6	5.15	12.37	4.57	2.9	12.09	2.12	24.25	6.12	0.17	0.15	21.67	3.18	22.35	1.75	12.24	2.39	2.01	6	0.82	0.93	4.35	chr16	81696668	81699684	3017	81698838	2170
chr16	81701406	81701407	CMIP_81701406	0.289817	+	0	1	0	1	CMIP	HsaINT0036878	chr16:81699802-81701659	1858	chr16:81699685-81699801=81701660-81701800:+	IR	6.8		1.69	1.44	3.5	7.87	5.66	2.6	0.9	0.84	0.75	0	7.9	9.76	4.58	2.13	7.79	1.59	1.18	1.1	2.09	1.7	0.69	0	1.18	0.91	13.33	6.98	4.96	17.8	8.6	4.14	10.31	0	0	0	0	0		0	0		3.34	3.88	10.34	5.82	6.94				0		0	6.44	4.44	0.85	0.35	1.13	0.57	3.52	1.1	3.03	2.81	5.62	15.62	3.07	7.69		10.83	2.37	0.35	1.35	3.45	2.88	7.98	3.5	17.41	6.98	11.86	6.61	2.88	1.59	1.8	6.78	0	6.76	11.11	0	10.53	17.95	4.36	0.51	2.29	0	4.76		0.74	1.72	0.74	0.58	0.14	0	0	1.11	2.56	7.69	5.41	6.53	6.42	3.31	6.02	6.85	11.81	9.57	8.86	4.58	5.45	2.92	8.21	4.52	2.35	0.14	0.19	7.29	5.69	7.82	14.55	6.23	4.14	6.05	22.5	6.5	0.36	2.32	17.24	6.82	12.9	1.08	4.55	4.02	4.83	3.48	0.66	1.07	0	chr16	81699802	81701659	1858	81701407	1605
chr2	6862360	6862361	CMPK2_6862360	0.236318	-	1	0	0	1	CMPK2	HsaINT0036906	chr2:6861386-6863463	2078	chr2:6863464-6863578=6861184-6861385:-	IR	0	1.24	0	0	0	0	0	0	4.76	0.2	0.71	0	4	1.23	0	0	0		0.92	3.33	0	1.52	0	0	3.28	0	4.76	0.9	2.27	0	0	3.85	0			0							0	0.32	0	0	0						0	0	0		0	0	0		0		0	0	0	0	2.15	2.35	0	0	0	0	0	0	0	0	1.46	0	0	0	0.4	0.95	0	0.76	0	1.93	1.96		0	0	5.26			0	0		0	0	0	0	0			0	0	0	14.29	30.77	20	6.67	9.52	0	4.76	0	0	5.88		0	2.44	1.96	0	0	0	0	0	6.67	0	1.01	0.35	0.41		0	0	0	0	0.9	0	20	0	0	0	0.9	0.35	0		chr2	6861386	6863463	2078	6862361	1102
chr3	100165160	100165161	CMSS1_100165160	0.270861	+	1	0	0	1	CMSS1	HsaINT0023832	chr3:100162433-100166334	3902	chr3:100162303-100162432=100166335-100166394:+	IR	7.77	0.48	0	2.4	0.33	0	1.27	0	2.04	1.2	0	0	0	8.15	0.65	1.3	12.5	0.53	0.61	0	0	0.19	0	0	1.73	0.71	2.64	1.2	1.96	5.21	0	0	0	0	0	0	0	0	0.53	0	0	0	0.28	0.35	2.37	0.87	0.27	0	0	0	0	0	0	0.93	1.96	0	0.22	0.59	0.25	0	0.72	0	0	0.08	0	0	1.1	0.59	3.57	0.59	0.14	0.13	0	0	0	0	5.62	1.64	1.96	1.12	0	0	0	0	0	0	19.1	0	1.64	0.81	0.18	0	0	0	0	0	2.63	2.82	0.55	0	0	2.22	0	0	0.52	0	0	2	0	0.75	2.33	4.59	3.85	0	0	0	5	11.11	1.69	0	0	1.12	0.72	2.78	3.93	10.08	8.24	2.44	6.85	0	14.29	0.95	0	0.67	21.05	4.65	0	0.99	3.17	0.31	0	0	0	0.83	0	chr3	100162433	100166334	3902	100165161	2728
chr6	37476528	37476529	CMTR1_37476528	0.28954	+	0	0	1	1	CMTR1	HsaINT0066519	chr6:37476195-37477591	1397	chr6:37476126-37476194=37477592-37477639:+	IR	6.19	2.37	2.6	3.94	0.93	0	1.28	1.93	9.86	10.73	14.69	0	1.82	7.69	5.73	9.29	9.09	3.07	0.89	3.53	3.49	0.81	0.18	0.42	5.14	1.96	4.85	6.12	3.12	8.73	5.05	3.41	0	2.33	0	0	1.06	0	0	0	0	0	3.64	3.6	4.55	5.05	5.63		0		0	0	2.44	5.55	2.86	0	0	1	0.33	4.62	5.13	4	3.88	2.42	5.06	0.49	6.32	5.21	6.97	1.16	0.36	1.36	4.99	9.09	6.49	0	9.43	1.03	9.32	5.31	2.89	1.08	1.87	4.7	0	28.85	14.63	0	3.16	1.77	2.61	0.88	1.2	0.41	3.7		8.11	26.32	10.34	2.73	2.24	8.33	0	2.38	1.18	10.34	0	11.32	13.65	11.32	7.69	8.22	9.56	2.95	9.09	8.18	8.74	1.58	2.92	2.92	0	6.57	6.04	1.16	2.87	13.48	12.2	6.25	15.61	4.86	45.52	5.38	1.06	1.45	8.2	1.98	23.53	10.2	4.94	2.79	2.03	6.06	2.07	8.82	0	chr6	37476195	37477591	1397	37476529	334
chr6	37478626	37478627	CMTR1_37478626	0.230683	+	1	0	0	1	CMTR1	HsaINT0066521	chr6:37478522-37479146	625	chr6:37478409-37478521=37479147-37479255:+	IR	9.33	1.11	0.77	0	3.57	0	1.1	4.24	5.22	3.28	4.15	0	14.68	11.56	3.47	2.25	0	1.65	0.29	0.98	0.59	0.7	0.53	0.42	3.72	2.1	2.17	4.46	2.03	6.33	4.32	3.71	4.36	0	0	0	0	0	0	0	0	0	2.59	3.05	2.02	2.88	2.14		0	0	0	0	0	6.33	7.89	0.34	0.97	0.96	0.43	3.04	9.09	1.27	2.64	0.68	9.15	2.4	3.36	2.66	3.9	4.28	2.13	0	3.5	3.35	6.79	0	14.26	0.56	4.5	1.27	0.93	1.42	1.06	0.34	0	27.44	8.07	0	0.77	1.36	3.68	1.52	1.48	0.6	3.64	100	0.5	1.74	0.82	1.23	1.92	0	0	2.38	0.14	9.76	17.87	5.97	9.23	7.7	2.77	7.64	5.9	1.41	8.98	3.14	19.06	6.41	1.75	2.81	0.37	2.47	1.09	21.11	2.77	7.24	2.57	3.08	8.98	1.45	53.18	3.06	1.05	0.44	12.11	1.8	22.29	44.63	9.24	1.94	0.87	1.56	0.26	6.29	0	chr6	37478522	37479146	625	37478627	105
chr5	79790781	79790782	CMYA5_79790781	0.170579	+	1	0	0	1	CMYA5	HsaINT0036939	chr5:79789105-79790969	1865	chr5:79788971-79789104=79790970-79791069:+	IR	0	3.23	0		0	0	1.82	0			0		0	2.26	0	0		0			0	0			10.34	0			0	0	0	0	0	0	0					0	0		0	2.7	6.67	0	0		0						11.11	0	0	0	0	0	42.86	0	0	2.04	0	0.1	0.37	0.43	0	9.09	5.26	5.88	16.67	0	0	0	0	0	0	0	0	0	0	0			0	0	0.19	0.05	20	0	0	0	0				100			0	0	0.35	0			0	100			0	0	1.37	4.92	8	100	0	0.65	1.2	0	0	9.68	0	1.8	16.36	25	0	0	0		0	0	0	0.8	0	0	100	0	2	1.05			0		chr5	79789105	79790969	1865	79790782	1677
chr18	74564854	74564855	CNDP1_74564854	0.109961	+	1	0	0	1	CNDP1	HsaINT0036969	chr18:74562136-74567232	5097	chr18:74562047-74562135=74567233-74567433:+	IR					0		1.82	75		0	0	33.33		100	0	0.36		0				100	0						0			0.16		0	0		62.96		100	71.43	100	100	0	4	0	0	0										0	0	0				0.2	9.09	0	0	0				0			0	0	0.26	1.38	0							50	0			0		0	0		0			0	0	0	0	0	1.4	0					100	0		50	0	0		100				20	0		0	0	0	0	4.76	0	1.96		0		0	0	0	0	6.25			0	0	0	0		1.53	0	chr18	74562136	74567232	5097	74564855	2719
chr18	74516164	74516165	CNDP2_74516164	0.101832	+	0	0	1	1	CNDP2	HsaINT0036977	chr18:74513720-74516227	2508	chr18:74513559-74513719=74516228-74516392:+	IR	5.58		2.46	0.92	3.16	4.12	1.49	0.58	2.9	9.84	7.92	0	1.54	5.61	3.38	3.82	5.4	1.18	2.3	4.82	2.22	1.11	0.81	0.18	1.31	1.86	7.07	3.27	1.38	21.46	15.48	1.33	4.06	0	0	0	0	0		0			1.52	2.58	2.75	4.68	5.32	0	21.74	0	0	0	1.45	4.02	2.47	1.76	0.81	1.32	0.91	0.89	2.22	0.43	2.31	3.8	3.13	1.49	5.77		1.52	1.03	0.22	0.24	1.02	0.2	1.59	0.65	5.78	1.23	4.26	3.43	1.36	1.72	1.24	2.67	2.22	19.59	5.74	0	1.3	0.95	4.07	1.12	2.33	3.12	3.73		5.84	3.72	4.78	0.48	0.6	1.39	0	0.35	3.78	2.17	0.48	2.49	6.8	3.51	2.73	4.05	1.18	2.4	3.49	3.1	5.14	2.47	1.67	0.77	0	0.08	0.3	6.65	5.09	6.63	6.47	2.54	7.96	2.34	3.45	3.39	0.59	0.53	13.62	2.41	7.69	13.54	4.83	1.19	1.35	9.36	1.16	2.66	0	chr18	74513720	74516227	2508	74516165	2445
chr16	57919483	57919484	CNGB1_57919483	0.349666	-	1	0	0	1	CNGB1	HsaINT0037036	chr16:57919255-57920386	1132	chr16:57920387-57920544=57919099-57919254:-	IR				0	23.6										34.65	100					0				51.1					39.9	0	9.46											0	32.73	0	20.63	25.83								24.14								34.13	0						15.77												0	0								100						0	0										100	100				100		100						4.75	3.69	1.67		14.64	100						33.98	50.72	100	60.7	61.29					100			5.4		chr16	57919255	57920386	1132	57919484	902
chr16	57920712	57920713	CNGB1_57920712	0.270602	-	1	0	0	1	CNGB1	HsaINT0037035	chr16:57920545-57923272	2728	chr16:57923273-57923380=57920387-57920544:-	IR				0	23.88									100	0										100	100				100	0	41.79				100		100		100			100	100	100	92.34	100								100								51.19	100						100		100				100															100		100					100										100	100			100				100					39.63	27.87	18.13		100	100	100	100					0		79.94	100						100		17.48		chr16	57920545	57923272	2728	57920713	2559
chr16	57922943	57922944	CNGB1_57922943	0.274374	-	1	0	0	1	CNGB1	HsaINT0037035	chr16:57920545-57923272	2728	chr16:57923273-57923380=57920387-57920544:-	IR				0	23.88									100	0										100	100				100	0	41.79				100		100		100			100	100	100	92.34	100								100								51.19	100						100		100				100															100		100					100										100	100			100				100					39.63	27.87	18.13		100	100	100	100					0		79.94	100						100		17.48		chr16	57920545	57923272	2728	57922944	328
chr14	54431680	54431681	CNIH1_54431680	0.207671	-	0	0	1	1	CNIH1	HsaINT0037069	chr14:54430405-54432107	1703	chr14:54432108-54432220=54430261-54430404:-	IR	0.53	1.34	0.43	0.46	0.83	0	17.46	1.97	22.63	1.12	3.97	0	0.98	1.44	1.8	1.39	0	0.87	0.58	1	0.48	0.2	0	0	1.89	0.3	2.37	2.27	0.15	0.55	2.37	1.43	0.75	0	0	0	0	0	0.15	1.73	0	0	1.18	1.94	3.28	3.46	3.79	0	0	0.05	0	0	0.54	1.51	1.47	1.05	0.25	0.67	0.62	0.55	5.11	0.11	0.93	0.93	2.01	0.69	1.08	1.24	2.27	0.24	2.7	0.72	1.56	0	2	0.15	1.64	0.55	1.26	1.77	0.54	0.53	0.28	2.23	18.37	2.12	1.01	0	0.3	0.63	0.91	0.52	0.85	0.43	0.57	22.22	2.95	2.71	2.48	1.04	0.57	13.76	0	0.4	1.91	27.54	25.32	32.24	39.78	30.56	36.5	15.79	25.69	0.78	0	1.42	0.9	0.68	0.33	0.72	0	0	0.05	0	5.13	7.21	3.16	1.31	6.83	1.6	37.14	2.05	0	0	1.95	1.11	4.88	2.61	3.9	1.1	1.11	1.18	0.46	0.99	0	chr14	54430405	54432107	1703	54431681	426
chr6	154424716	154424717	CNKSR3_154424716	0.249831	-	1	0	0	1	CNKSR3	HsaINT0037138	chr6:154422984-154428127	5144	chr6:154428128-154428187=154422915-154422983:-	IR	14.35	0	1.08	0	12.5	0	2.02	2.87	1.54	0	0	26.54	0	34.59	0	0	0	0	0	0	0	0		0	6.8		6.5	4.46	7.04	19.34	22.04	0	0						0	0	60.69	100	2.28	1.39	5.47	0	0		0	5.23			0	9.86	0	0	0	0	0	0	1.89	0	0	0	4	0	13.28	2.75	8.44	0	6.85	0	18.18	0	9.07	2.19	24.78	13.67	17.84	5.36	0	0	0	5.94		0	13.8	0	0	0	5.56	0	0	0	0		0	0	0	0	0	0		0	0.45	6.99	10.15	15.12	7.16	12.54	9.64	5.11	8.79	0	0	15.92	7.02	28.08	1.63	2.11	0	0	0	3.32	2.03	22.79	15.72	3.74	18.4	0.88	0	4.72	0	0	11.88	1.34	20.47		21.98	3.48	1.74	0		1.71		chr6	154422984	154428127	5144	154424717	3410
