candidate_group	GENE	EVENT	COORD	intron_length	chr	strand	decoyID	start	end	decoy_coord_1based	decoy_distance_from_canonical_5ss	intron_start	intron_end	mESC_lift_Chr	mESC_lift_Start	mESC_lift_End	mESC_ir_Chr	mESC_ir_Start	mESC_ir_End	mESC_ir_gene	mESC_IRratio_mean	mESC_IR_overlap_bp	psi_count_ge10	psi_count_ge10_brain	brain_retained	SpliceAI_score	phastCons100_mean	phastCons470_mean	MaxEnt_decoy	MaxEnt_canonical
	DCBLD2	HsaINT0045325	chr3:98822742-98825314	2573	chr3	-	DCBLD2_98823613	98823613	98823614	98823614	1700	98822742	98825314	chr16	58446292	58446332	chr16	58445393	58448451	Dcbld2	0.230181333333333	41	11	1	FALSE	0.188172	0.0297738	0.0513576	7.65	9.46
	DCC	HsaINT0045355	chr18:53063460-53066045	2586	chr18	+	DCC_53065720	53065720	53065721	53065721	2261	53063460	53066045	chr18	71680185	71680587	chr18	71679582	71682161	Dcc	0	403	2	1	FALSE	0.007148	0.204469	0.231365	4.14	-22.61
	DCC	HsaINT0045332	chr18:53205365-53207678	2314	chr18	+	DCC_53207123	53207123	53207124	53207124	1759	53205365	53207678	chr18	71547442	71547540	chr18	71547442	71549002	Dcc	0	99	6	2	FALSE	0.10206	0.0698833	0.0703764	7.77	-11.68
	DCC	HsaINT0045339	chr18:53391888-53397307	5420	chr18	+	DCC_53393812	53393812	53393813	53393813	1925	53391888	53397307	chr18	71377080	71377192	chr18	71374612	71378654	Dcc	0	113	12	1	FALSE	0.109251	0.0621607	0.0698666	7.66	-18.28
	DCC	HsaINT0045340	chr18:53397447-53402785	5339	chr18	+	DCC_53397797	53397797	53397798	53397798	351	53397447	53402785	chr18	71372843	71372975	chr18	71370759	71374472	Dcc	0	133	12	4	TRUE	0.085246	0.0710912	0.074663	8.6	-23.9
	DCDC1	HsaINT1010674	chr11:31263074-31265506	2433	chr11	-	DCDC1_31264777	31264777	31264778	31264778	728	31263074	31265506	chr2	106063428	106063499	chr2	106062998	106076752	Dcdc5	0	72	34	9	TRUE	0.129271	0.115864	0.0969765	6.93	11
	DCDC2C	HsaINT1010686	chr2:3767881-3769310	1430	chr2	+	DCDC2C_3769156	3769156	3769157	3769157	1276	3767881	3769310	chr12	28525617	28525679	chr12	28524773	28526691	Dcdc2c	0	63	12	4	TRUE	0.053673	0.0103168	0.00932864	5.5	-27.28
	DCHS1	HsaINT0045417	chr11:6624869-6625197	329	chr11	-	DCHS1_6624868	6624868	6624869	6624869	328	6624869	6625197	chr7	105756777	105756857	chr7	105756551	105756898	Dchs1	0	81	28	7	TRUE	0.05093	0.0314195	0.100428	9.43	8.35
	DCHS2	HsaINT0045447	chr4:154240824-154242641	1818	chr4	-	DCHS2_154241482	154241482	154241483	154241483	1158	154240824	154242641	chr3	83347756	83347899	chr3	83346291	83348004	Dchs2	0	144	20	4	TRUE	0.051506	0.0587057	0.118268	8.95	11
	DCHS2	HsaINT1010697	chr4:154335105-154343467	8363	chr4	-	DCHS2_154337601	154337601	154337602	154337602	5865	154335105	154343467	chr3	83268812	83268881	chr3	83248753	83269155	Dchs2	0	70	21	7	TRUE	0.018286	0.0370056	0.0540607	8.56	1.96
	DCLK2	HsaINT0045492	chr4:150240477-150247602	7126	chr4	+	DCLK2_150241031	150241031	150241032	150241032	555	150240477	150247602	chr3	86794712	86794814	chr3	86792112	86799010	Dclk2	0.00360765333333333	103	51	9	TRUE	0.554768	0.0573804	0.0471272	9.8	-10.21
	DCLK3	HsaINT0045509	chr3:36718178-36721526	3349	chr3	-	DCLK3_36718209	36718209	36718210	36718210	3316	36718178	36721526	chr9	111484096	111484163	chr9	111482751	111484916	Dclk3	0	68	19	2	FALSE	0.007729	0.0181896	0.0189145	4.86	11
	DCLRE1A	HsaINT0045518	chr10:113835313-113837061	1749	chr10	-	DCLRE1A_113836500	113836500	113836501	113836501	560	113835313	113837061	chr19	56530910	56530979	chr19	56529663	56531216	Dclre1a	0	70	8	1	FALSE	0.355234	0.0729211	0.0583945	6.96	2.86
	DCLRE1C	HsaINT0045527	chr10:14919833-14922980	3148	chr10	-	DCLRE1C_14921697	14921697	14921698	14921698	1282	14919833	14922980	chr2	3447231	3447312	chr2	3447163	3450278	Dclre1c	0.115507333333333	82	38	5	TRUE	0.155118	0.0387027	0.0282758	9.04	7.8
	DCN	HsaINT1010711	chr12:91158510-91164604	6095	chr12	-	DCN_91159156	91159156	91159157	91159157	5447	91158510	91164604	chr10	97499094	97499200	chr10	97495115	97506492	Dcn	0	107	2	0	FALSE	0.011373	0.0268824	0.039806	7.33	7.45
	DCP2	HsaINT0045571	chr5:112985987-112992120	6134	chr5	+	DCP2_112987750	112987750	112987751	112987751	1764	112985987	112992120	chr18	44397102	44397177	chr18	44396025	44399623	Dcp2	0.125644666666667	76	3	0	FALSE	0.085294	0.0561772	0.0874941	9.46	-32.07
	DCP2	HsaINT0045572	chr5:112992249-112992671	423	chr5	+	DCP2_112992586	112992586	112992587	112992587	338	112992249	112992671	chr18	44400070	44400117	chr18	44399752	44400316	Dcp2	0.0674534	48	3	0	FALSE	0.022196	0.0428014	0.122475	7.66	-27.47
	DCST1	HsaINT0045588	chr1:155047313-155047786	474	chr1	+	DCST1_155047379	155047379	155047380	155047380	67	155047313	155047786	chr3	89353226	89353265	chr3	89352846	89353265	Dcst1	0	40	76	10	TRUE	0.040816	0.0328418	0.0320127	9.06	-21.45
	DCST2	HsaINT1010726	chr1:155023960-155024471	512	chr1	-	DCST2_155024029	155024029	155024030	155024030	441	155023960	155024471	chr3	89372571	89372622	chr3	89371664	89372647	Dcst2	0	52	71	17	TRUE	0.1173	0.0253828	0.030516	6.36	8.99
	DCSTAMP	HsaINT1010732	chr8:104349582-104354876	5295	chr8	+	DCSTAMP_104350705	104350705	104350706	104350706	1124	104349582	104354876	chr15	39758142	39758346	chr15	39755226	39760328	Dcstamp	0.0365528666666667	205	41	9	TRUE	0.143255	0.100032	0.135802	10.29	-12.67
	DCTN6	HsaINT0045705	chr8:30177215-30179407	2193	chr8	+	DCTN6_30179334	30179334	30179335	30179335	2120	30177215	30179407	chr8	34093794	34093842	chr8	34093677	34097188	Dctn6	0.0145349833333333	49	14	1	FALSE	0.149321	0.0678778	0.0605252	8.62	-40.74
	DCT	HsaINT0045618	chr13:94462190-94465632	3443	chr13	-	DCT_94462660	94462660	94462661	94462661	2971	94462190	94465632	chr14	118038972	118039078	chr14	118036631	118039609	Dct	0	107	10	4	TRUE	0.195928	0.0216355	0.0171085	8.73	7.57
	DCUN1D2	HsaINT0045716	chr13:113484057-113490666	6610	chr13	-	DCUN1D2_113487215	113487215	113487216	113487216	3450	113484057	113490666	chr8	13283902	13284033	chr8	13271721	13287803	Dcun1d2	0.0218985333333333	132	129	23	TRUE	0.041042	0.0326177	0.0304599	8.88	8.6
	DCUN1D4	HsaINT1010742	chr4:51911175-51913289	2115	chr4	+	DCUN1D4_51912111	51912111	51912112	51912112	937	51911175	51913289	chr5	73556957	73557057	chr5	73544156	73557253	Dcun1d4	0.0170015	101	33	7	TRUE	0.030417	0.0608402	0.110793	9.27	-24.28
	DCX	HsaINT0045743	chrX:111401331-111410034	8704	chrX	-	DCX_111409541	111409541	111409542	111409542	492	111401331	111410034	chrX	143929822	143930014	chrX	143923430	143930940	Dcx	0	193	10	3	TRUE	0.270879	0.193449	0.267937	9.66	8.83
	DDB2	HsaINT0045795	chr11:47232960-47234572	1613	chr11	+	DDB2_47233138	47233138	47233139	47233139	179	47232960	47234572	chr2	91217767	91217855	chr2	91212615	91234107	Ddb2	0.0542024	89	68	19	TRUE	0.103785	0.0601073	0.0837781	8.56	-37.06
	DDC	HsaINT0045806	chr7:50463432-50467213	3782	chr7	-	DDC_50466683	50466683	50466684	50466684	529	50463432	50467213	chr11	11816481	11816606	chr11	11815429	11819290	Ddc	0.0880221333333333	126	7	2	FALSE	0.120721	0.00954654	0.00639602	10.07	7.81
	DDC	HsaINT0045804	chr7:50470172-50476623	6452	chr7	-	DDC_50473960	50473960	50473961	50473961	2662	50470172	50476623	chr11	11824346	11824460	chr11	11822294	11824848	Ddc	0.101330433333333	115	3	0	FALSE	0.448284	0.0156187	0.0111238	10.03	10.75
	DDC-AS1	HsaINT1010758	chr7:50541410-50542244	835	chr7	-	DDC_50541645	50541645	50541646	50541646	598	50541410	50542244	chr11	11878634	11878715	chr11	11876359	11880441	Ddc	0.100942366666667	82	18	2	FALSE	0.069127	0.00797964	0.00210837	10.07	-21.83
	DDHD1	HsaINT0045826	chr14:53061202-53062942	1741	chr14	-	DDHD1_53062587	53062587	53062588	53062588	354	53061202	53062942	chr14	45610423	45610489	chr14	45609014	45610491	Ddhd1	0.180205	67	4	0	FALSE	0.029982	0.0779828	0.0987623	7.07	6.53
	DDI2	HsaINT0045849	chr1:15633566-15638306	4741	chr1	+	DDI2_15637019	15637019	15637020	15637020	3454	15633566	15638306	chr4	141705435	141705500	chr4	141703240	141705931	Ddi2	0.0334731333333333	66	24	4	TRUE	0.078082	0.0466701	0.031309	10.86	-19.55
	DDI2	HsaINT0045851	chr1:15643651-15649719	6069	chr1	+	DDI2_15649679	15649679	15649680	15649680	6029	15643651	15649719	chr4	141695521	141695549	chr4	141695511	141698729	Ddi2	0.0778791	29	33	4	TRUE	0.110129	0.0489835	0.0341348	7.46	-26.3
	DDO	HsaINT0045864	chr6:110404951-110408333	3383	chr6	-	DDO_110407146	110407146	110407147	110407147	1186	110404951	110408333	chr10	40635464	40635604	chr10	40633047	40637344	Ddo	0	141	37	7	TRUE	0.139385	0.0299761	0.0256016	9.39	10.45
	DDO	HsaINT0045863	chr6:110408443-110413290	4848	chr6	-	DDO_110409050	110409050	110409051	110409051	4239	110408443	110413290	chr10	40632482	40632618	chr10	40631781	40632937	Ddo	0	137	26	2	FALSE	0.147266	0.046126	0.0324186	8.99	9.22
	DDR2	HsaINT0045887	chr1:162773597-162775651	2055	chr1	+	DDR2_162774244	162774244	162774245	162774245	648	162773597	162775651	chr1	169985124	169985260	chr1	169985066	169987016	Ddr2	0.333333333333333	137	24	5	TRUE	0.105455	0.136162	0.118125	10.13	-23.8
	DDX11	HsaINT1010800	chr12:31100708-31101026	319	chr12	+	DDX11_31100893	31100893	31100894	31100894	186	31100708	31101026	chr17	66147911	66147958	chr17	66147741	66147991	Ddx11	0.199633333333333	48	116	19	TRUE	0.061235	0.0348558	0.0269115	1.87	-38.02
	DDX17	HsaINT0046006	chr22:38499500-38501129	1630	chr22	-	DDX17_38499669	38499669	38499670	38499670	1459	38499500	38501129	chr15	79543406	79543462	chr15	79542587	79543705	Ddx17	0.0450237	57	11	1	FALSE	0.046232	0.0269245	0.0206178	9.72	9.09
	DDX18	HsaINT0046019	chr2:117817729-117819648	1920	chr2	+	DDX18_117818257	117818257	117818258	117818258	529	117817729	117819648	chr1	121565602	121565683	chr1	121564604	121565880	Ddx18	0.00395076666666667	82	2	0	FALSE	0.021051	0.0214182	0.0294476	9.45	-17.61
	DDX19B	HsaINT0046046	chr16:70317589-70324584	6996	chr16	+	DDX19B_70323232	70323232	70323233	70323233	5644	70317589	70324584	chr8	111020529	111020567	chr8	111015668	111020628	Ddx19b	0.156659	39	10	2	FALSE	0.455154	0.0769282	0.0346469	6.52	-33.27
	DDX21	HsaINT0046069	chr10:68963470-68965376	1907	chr10	+	DDX21_68964180	68964180	68964181	68964181	711	68963470	68965376	chr10	62593739	62593796	chr10	62593128	62593961	Ddx21	0.0172124333333333	58	7	4	TRUE	0.234622	0.0210336	0.0247611	9.25	-23.08
	DDX25	HsaINT0046104	chr11:125906210-125908195	1986	chr11	+	DDX25_125908130	125908130	125908131	125908131	1921	125906210	125908195	chr9	35556362	35556451	chr9	35554610	35556765	Ddx25	0	90	9	0	FALSE	0.034252	0.0518112	0.0539454	9.8	-48.11
	DDX25	HsaINT0046106	chr11:125908504-125910363	1860	chr11	+	DDX25_125909256	125909256	125909257	125909257	753	125908504	125910363	chr9	35553017	35553103	chr9	35552952	35554306	Ddx25	0.0159010666666667	87	10	2	FALSE	0.08143	0.0249581	0.0280387	9.31	-19.83
	DDX25	HsaINT0046100	chr11:125918791-125921190	2400	chr11	+	DDX25_125920087	125920087	125920088	125920088	1297	125918791	125921190	chr9	35544969	35545051	chr9	35543787	35545813	Ddx25	0	83	41	11	TRUE	0.02186	0.0101275	0.0270038	8.04	-27.48
	DDX27	HsaINT0046133	chr20:49239339-49241892	2554	chr20	+	DDX27_49239694	49239694	49239695	49239695	356	49239339	49241892	chr2	167033536	167033562	chr2	167031654	167033562	Ddx27	0.0190906333333333	27	12	1	FALSE	0.112199	0.0491703	0.0317718	7.63	-22.93
	DDX31	HsaINT0046153	chr9:132625746-132630263	4518	chr9	-	DDX31_132629007	132629007	132629008	132629008	1255	132625746	132630263	chr2	28875894	28876025	chr2	28875830	28881142	Ddx31	0	132	51	7	TRUE	0.056873	0.130645	0.0926461	8.38	9.1
	DDX3Y	HsaINT0046201	chrY:12907595-12909359	1765	chrY	+	DDX3Y_12908158	12908158	12908159	12908159	564	12907595	12909359	chrY	1284277	1284314	chrY	1282949	1284321	Ddx3y	0.0467438666666667	38	20	4	TRUE	0.0077	0.056328	0.00745009	5.22	-37.63
	DDX42	HsaINT0046257	chr17:63815674-63816867	1194	chr17	+	DDX42_63816163	63816163	63816164	63816164	490	63815674	63816867	chr11	106245942	106246002	chr11	106245438	106246775	Ddx42	0.0138038533333333	61	1	0	FALSE	0.069844	0.0384782	0.0518802	8.88	-25.41
	DDX43	HsaINT0046274	chr6:73416252-73417186	935	chr6	+	DDX43_73417100	73417100	73417101	73417101	849	73416252	73417186	chr9	78423402	78423426	chr9	78421839	78423451	Ddx43	0.0427701833333333	25	78	10	TRUE	0.005347	0.0334086	0.012716	6.41	-21.83
	DDX46	HsaINT0046284	chr5:134784542-134785464	923	chr5	+	DDX46_134785140	134785140	134785141	134785141	599	134784542	134785464	chr13	55654485	55654565	chr13	55654180	55655008	Ddx46	0.0310533333333333	81	60	11	TRUE	0.162	0.395135	0.617225	8.34	-25.18
	DDX46	HsaINT0046295	chr5:134817715-134818859	1145	chr5	+	DDX46_134817907	134817907	134817908	134817908	193	134817715	134818859	chr13	55676115	55676188	chr13	55676115	55676769	Ddx46	0.0120176333333333	74	1	0	FALSE	0.459354	0.0450105	0.0381375	9.8	-23.11
	DDX47	HsaINT0046306	chr12:12826071-12827245	1175	chr12	+	DDX47_12827244	12827244	12827245	12827245	1174	12826071	12827245	chr6	135020687	135020715	chr6	135020687	135021448	Ddx47	0.164062666666667	29	18	3	TRUE	0.198909	0.0304221	0.0352868	9.46	-30.91
	DDX4	HsaINT1010839	chr5:55760278-55763174	2897	chr5	+	DDX4_55760620	55760620	55760621	55760621	343	55760278	55763174	chr13	112636084	112636184	chr13	112636046	112644508	Ddx4	0	101	4	2	FALSE	0.029335	0.0545202	0.0740571	7.66	-21.4
	DDX4	HsaINT1010841	chr5:55764065-55767880	3816	chr5	+	DDX4_55764591	55764591	55764592	55764592	527	55764065	55767880	chr13	112631991	112632072	chr13	112628898	112633884	Ddx4	0	82	15	5	TRUE	0.00534	0.0551952	0.0562069	6.74	-21.4
	DDX4	HsaINT1010837	chr5:55815424-55816462	1039	chr5	+	DDX4_55816106	55816106	55816107	55816107	683	55815424	55816462	chr13	112599073	112599155	chr13	112599032	112599617	Ddx4	0	83	15	4	TRUE	0.064048	0.0745852	0.047062	8.14	-16.93
	DDX50	HsaINT0046346	chr10:68907008-68910306	3299	chr10	+	DDX50_68907969	68907969	68907970	68907970	962	68907008	68910306	chr10	62646796	62646862	chr10	62643373	62646913	Ddx50	0.136724	67	7	1	FALSE	0.024244	0.0823083	0.0765043	5.35	-24.59
	DDX52	HsaINT0046375	chr17:37614354-37618291	3938	chr17	-	DDX52_37614778	37614778	37614779	37614779	3512	37614354	37618291	chr11	83960543	83960633	chr11	83959534	83961749	Ddx52	0.0300199333333333	91	54	11	TRUE	0.053086	0.0780559	0.0863566	8.28	9.49
	DDX52	HsaINT0046374	chr17:37618385-37619767	1383	chr17	-	DDX52_37619253	37619253	37619254	37619254	513	37618385	37619767	chr11	83959395	83959446	chr11	83957538	83959446	Ddx52	0.00976303333333333	52	4	0	FALSE	0.034165	0.0678604	0.080601	6.46	6.82
	DDX52	HsaINT0046380	chr17:37628673-37630029	1357	chr17	-	DDX52_37629869	37629869	37629870	37629870	159	37628673	37630029	chr11	83948740	83948797	chr11	83948589	83949582	Ddx52	0.0303754666666667	58	28	5	TRUE	0.005523	0.0554827	0.0930714	2.48	9.46
	DDX52	HsaINT0046380	chr17:37628673-37630029	1357	chr17	-	DDX52_37629873	37629873	37629874	37629874	155	37628673	37630029	chr11	83948740	83948797	chr11	83948589	83949582	Ddx52	0.0303754666666667	58	28	5	TRUE	0.007525	0.0554827	0.0930714	0.71	9.46
	DDX54	HsaINT0046393	chr12:113161383-113161892	510	chr12	-	DDX54_113161639	113161639	113161640	113161640	252	113161383	113161892	chr5	120626772	120626829	chr5	120626506	120626833	Ddx54	0.000738974666666667	58	15	7	TRUE	0.269498	0.039251	0.0380745	9.09	-3.5
	DDX58	HsaINT0046435	chr9:32459515-32466289	6775	chr9	-	DDX58_32465930	32465930	32465931	32465931	358	32459515	32466289	chr4	40208641	40208713	chr4	40208595	40208770	Ddx58	0	73	44	9	TRUE	0.086492	0.0646883	0.0466174	8.35	11
	DDX60L	HsaINT0046519	chr4:168400979-168403981	3003	chr4	-	DDX60L_168401157	168401157	168401158	168401158	2823	168400979	168403981	chr8	61989935	61989951	chr8	61989935	61994375	Ddx60	0	17	2	0	FALSE	0.240101	0.0521692	0.0473749	9.81	7.4
	DDX60L	HsaINT0046517	chr4:168406079-168406601	523	chr4	-	DDX60L_168406524	168406524	168406525	168406525	76	168406079	168406601	chr8	61988027	61988039	chr8	61987457	61988039	Ddx60	0	13	6	1	FALSE	0.30361	0.0346444	0.0197094	9.88	8.76
	DDX60L	HsaINT0046507	chr4:168423775-168427069	3295	chr4	-	DDX60L_168425902	168425902	168425903	168425903	1166	168423775	168427069	chr8	61972149	61972154	chr8	61969706	61972154	Ddx60	0	6	14	1	FALSE	0.021344	0.0413575	0.0216543	7.26	9.26
	DDX60L	HsaINT0046506	chr4:168427323-168430477	3155	chr4	-	DDX60L_168428978	168428978	168428979	168428979	1498	168427323	168430477	chr8	61969445	61969452	chr8	61963742	61969452	Ddx60	0	8	24	1	FALSE	0.097927	0.0324612	0.0251721	10.57	7.25
	DDX60L	HsaINT0046537	chr4:168448780-168453123	4344	chr4	-	DDX60L_168451608	168451608	168451609	168451609	1514	168448780	168453123	chr8	61950626	61950660	chr8	61950586	61954497	Ddx60	0	35	14	1	FALSE	0.030788	0.0341868	0.0223226	8.41	4.68
	DDX60L	HsaINT0046536	chr4:168453283-168456038	2756	chr4	-	DDX60L_168453290	168453290	168453291	168453291	2747	168453283	168456038	chr8	61950413	61950426	chr8	61948974	61950426	Ddx60	0	14	31	6	TRUE	0.011926	0.0399242	0.0336346	2.59	7.79
	DDX60	HsaINT0046484	chr4:168251107-168252508	1402	chr4	-	DDX60_168251483	168251483	168251484	168251484	1024	168251107	168252508	chr8	61999335	61999447	chr8	61998780	62000550	Ddx60	0	113	6	1	FALSE	0.146944	0.0158024	0.0150774	9.16	5.66
	DDX60	HsaINT0046477	chr4:168267984-168268853	870	chr4	-	DDX60_168268117	168268117	168268118	168268118	735	168267984	168268853	chr8	61983198	61983309	chr8	61982598	61983800	Ddx60	0	112	4	2	FALSE	0.011452	0.0222379	0.0303267	5.3	3.1
	DDX60	HsaINT0046477	chr4:168267984-168268853	870	chr4	-	DDX60_168268135	168268135	168268136	168268136	717	168267984	168268853	chr8	61983198	61983309	chr8	61982598	61983800	Ddx60	0	112	4	2	FALSE	0.03114	0.0222379	0.0303267	4.94	3.1
	DDX60	HsaINT0046500	chr4:168288316-168291747	3432	chr4	-	DDX60_168288784	168288784	168288785	168288785	2962	168288316	168291747	chr8	61951234	61951300	chr8	61950586	61954497	Ddx60	0	67	18	0	FALSE	0.343467	0.0226824	0.0215783	10.28	6.41
	DDX60	HsaINT0046498	chr4:168293946-168302299	8354	chr4	-	DDX60_168298295	168298295	168298296	168298296	4003	168293946	168302299	chr8	61948744	61948811	chr8	61945969	61948811	Ddx60	0	68	9	0	FALSE	0.167776	0.0769692	0.0306133	9.66	8.1
	DDX60	HsaINT0046487	chr4:168308196-168310997	2802	chr4	-	DDX60_168309093	168309093	168309094	168309094	1903	168308196	168310997	chr8	61940550	61940569	chr8	61940358	61940602	Ddx60	0	20	5	1	FALSE	0.003126	0.0669957	0.0268201	6.05	6.51
	DDX6	HsaINT0046462	chr11:118760045-118763211	3167	chr11	-	DDX6_118762484	118762484	118762485	118762485	726	118760045	118763211	chr9	44626577	44626614	chr9	44626483	44627637	Ddx6	0.0720362333333333	38	2	0	FALSE	0.160581	0.0903631	0.0936012	11	8.73
	DEAF1	HsaINT0046549	chr11:674784-678693	3910	chr11	-	DEAF1_678407	678407	678408	678408	285	674784	678693	chr7	121945078	121945171	chr7	121943895	121949744	Cog7	0.0586442	94	10	2	FALSE	0.432786	0.0377532	0.00712314	10.1	7.92
	DEAF1	HsaINT0046544	chr11:686998-687910	913	chr11	-	DEAF1_687468	687468	687469	687469	441	686998	687910	chr7	141322393	141322424	chr7	141322066	141322461	Deaf1	0.0329321	32	2	0	FALSE	0.00442	0.010943	0.00736473	5.49	10.07
	DEAF1	HsaINT0046544	chr11:686998-687910	913	chr11	-	DEAF1_687474	687474	687475	687475	435	686998	687910	chr7	141322393	141322424	chr7	141322066	141322461	Deaf1	0.0329321	32	2	0	FALSE	0.015685	0.010943	0.00736473	3.97	10.07
	DECR1	HsaINT0046561	chr8:90021057-90036840	15784	chr8	+	DECR1_90036618	90036618	90036619	90036619	15562	90021057	90036840	chr4	15927378	15927447	chr4	15924354	15929726	Decr1	0	70	3	0	FALSE	0.131767	0.096595	0.0639536	10.08	-16.19
	DECR2	HsaINT0046566	chr16:402044-404955	2912	chr16	+	DECR2_403206	403206	403207	403207	1163	402044	404955	chr17	26089730	26089773	chr17	26088998	26090096	Decr2	0.669941	44	14	5	TRUE	0.03665	0.0372627	0.0224253	10.03	-39.74
	DECR2	HsaINT0046570	chr16:410368-410690	323	chr16	+	DECR2_410440	410440	410441	410441	73	410368	410690	chr17	26083982	26084001	chr17	26083939	26084010	Decr2	0.217460333333333	20	24	5	TRUE	0.023502	0.0455108	0.153326	6.14	-6.19
	DEFB115	HsaINT1010884	chr20:31257758-31259459	1702	chr20	+	DEFB115_31258076	31258076	31258077	31258077	319	31257758	31259459	chr2	152519872	152519926	chr2	152518361	152520015	Defb28	0	55	5	2	FALSE	0.066692	0.052473	0.0563378	7.21	-20.45
	DEFB125	HsaINT1010890	chr20:87768-96004	8237	chr20	+	DEFB125_92667	92667	92668	92668	4900	87768	96004	chr2	152511117	152511201	chr2	152508301	152511634	Defb26	0	85	6	1	FALSE	0.065423	0.0625162	0.0403218	7.44	-10.29
	DEFB1	HsaINT0046612	chr8:6870827-6877796	6970	chr8	-	DEFB1_6877384	6877384	6877385	6877385	411	6870827	6877796	chr8	21882209	21882286	chr8	21881935	21885333	Defb9	0	78	20	7	TRUE	0.070973	0.0267894	0.00934251	10.07	9.88
	DEK	HsaINT0046666	chr6:18249840-18255730	5891	chr6	-	DEK_18252649	18252649	18252650	18252650	3080	18249840	18255730	chr13	47099204	47099254	chr13	47088616	47099342	Dek	0.0112484666666667	51	0	0	FALSE	0.004213	0.0419294	0.0727098	2.78	4.44
	DENND1B	HsaINT0046714	chr1:197642822-197645689	2868	chr1	-	DENND1B_197642902	197642902	197642903	197642903	2786	197642822	197645689	chr1	139060728	139060794	chr1	139060329	139062860	Dennd1b	0.0739326666666667	67	28	5	TRUE	0.291916	0.0289348	0.0234527	-15.49	8.46
	DENND2A	HsaINT0046739	chr7:140544767-140546798	2032	chr7	-	DENND2A_140544792	140544792	140544793	140544793	2005	140544767	140546798	chr6	39482938	39483012	chr6	39480350	39483012	Dennd2a	0.0130715266666667	75	22	3	TRUE	3.6e-05	0.0185984	0.0222324	-14.71	10.03
	DENND2C	HsaINT0046769	chr1:114602195-114604921	2727	chr1	-	DENND2C_114602327	114602327	114602328	114602328	2593	114602195	114604921	chr3	103152693	103152754	chr3	103152403	103153636	Dennd2c	0.0374664666666667	62	16	4	TRUE	0.055539	0.081637	0.0869045	10.11	8.39
	DENND2C	HsaINT0046769	chr1:114602195-114604921	2727	chr1	-	DENND2C_114604406	114604406	114604407	114604407	514	114602195	114604921	chr3	103152693	103152754	chr3	103152403	103153636	Dennd2c	0.0374664666666667	62	16	4	TRUE	0.075561	0.081637	0.0869045	7.33	8.39
	DENND2D	HsaINT0046772	chr1:111188371-111188701	331	chr1	-	DENND2D_111188431	111188431	111188432	111188432	269	111188371	111188701	chr3	106499666	106499717	chr3	106499306	106499754	Dennd2d	0	52	56	12	TRUE	0.537317	0.040994	0.0872281	10.47	9.35
	DENND4A	HsaINT0046824	chr15:65665463-65667448	1986	chr15	-	DENND4A_65665699	65665699	65665700	65665700	1748	65665463	65667448	chr9	64911072	64911175	chr9	64910186	64911664	Dennd4a	0	104	55	13	TRUE	0.01495	0.0902482	0.0986782	1.34	9.11
	DENND4A	HsaINT0046819	chr15:65671887-65676444	4558	chr15	-	DENND4A_65674349	65674349	65674350	65674350	2094	65671887	65676444	chr9	64905871	64905925	chr9	64904340	64906000	Dennd4a	0.0174432333333333	55	6	3	TRUE	0.126967	0.113855	0.118923	7.82	7.81
	DENND4A	HsaINT0046819	chr15:65671887-65676444	4558	chr15	-	DENND4A_65675703	65675703	65675704	65675704	740	65671887	65676444	chr9	64905871	64905925	chr9	64904340	64906000	Dennd4a	0.0174432333333333	55	6	3	TRUE	0.04428	0.113855	0.118923	7.65	7.81
	DENND4A	HsaINT0046817	chr15:65691512-65696365	4854	chr15	-	DENND4A_65693418	65693418	65693419	65693419	2946	65691512	65696365	chr9	64896178	64896282	chr9	64894530	64896333	Dennd4a	0	105	23	1	FALSE	0.23331	0.0691205	0.137981	9.85	10.24
	DENND4A	HsaINT0046811	chr15:65701891-65702304	414	chr15	-	DENND4A_65701890	65701890	65701891	65701891	413	65701891	65702304	chr9	64889182	64889208	chr9	64889127	64889215	Dennd4a	0.108843666666667	27	11	1	FALSE	0.079487	0.180742	0.0628352	9.37	8.1
	DENND4A	HsaINT0046806	chr15:65717997-65722847	4851	chr15	-	DENND4A_65719472	65719472	65719473	65719473	3374	65717997	65722847	chr9	64870364	64870455	chr9	64867863	64871827	Dennd4a	0.0181202666666667	92	18	4	TRUE	0.006318	0.0802088	0.121839	0.25	8.62
	DENND4C	HsaINT1010910	chr9:19287022-19288595	1574	chr9	+	DENND4C_19287858	19287858	19287859	19287859	837	19287022	19288595	chr4	86778669	86778746	chr4	86777966	86779834	Dennd4c	0.0473661333333333	78	10	3	TRUE	0.032368	0.0638037	0.0830044	6.52	-20.74
	DENND4C	HsaINT1010911	chr9:19288666-19290703	2038	chr9	+	DENND4C_19289289	19289289	19289290	19289290	624	19288666	19290703	chr4	86780214	86780538	chr4	86779905	86781541	Dennd4c	0.0146843	325	14	5	TRUE	0.040895	0.287205	0.4067	9.37	-28
	DENND4C	HsaINT0046884	chr9:19299288-19300186	899	chr9	+	DENND4C_19299579	19299579	19299580	19299580	292	19299288	19300186	chr4	86790969	86791061	chr4	86789963	86791326	Dennd4c	0.0694817666666667	93	5	1	FALSE	0.134808	0.082901	0.162992	9.6	-14.58
