locus_id	gene	chrom	locus_start	locus_end	locus_strand	splice_score	snaptron_id	intron_start	intron_end	samples_count	coverage_sum	coverage_avg	coverage_median	left_annotated	right_annotated	source_dataset_id	annotated	junction_type
WDFY2_51754396	WDFY2	chr13	51754396	51754397	+	0.058682	7679813	51754398	51755357	2608	4857	1.862	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
NEK5_52069264	NEK5	chr13	52069264	52069265	-	0.376663	7684684	52065610	52069264	19	26	1.368	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
VPS36_52435480	VPS36	chr13	52435480	52435481	-	0.107501	7688746	52435375	52435480	1152	1663	1.444	1.0	aC19,cH38,sG19,sG38	aC19,cH38,sG19,sG38	3	1	5ss
OLFM4_53041908	OLFM4	chr13	53041908	53041909	+	0.123946	7693334	53034501	53041909	4118	2310317	561.029	9.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
PCDH9_67229547	PCDH9	chr13	67229547	67229548	-	0.060797	7709446	67228576	67229551	47	53	1.128	1.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
PCDH9_67229551	PCDH9	chr13	67229551	67229552	-	0.068008	7709446	67228576	67229551	47	53	1.128	1.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
MYCBP2_77290724	MYCBP2	chr13	77290724	77290725	-	0.045091	7736637	77288377	77290724	411	609	1.482	1.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
ABCC4_95038629	ABCC4	chr13	95038629	95038630	-	0.069435	7762993	95034740	95038629	2484	6761	2.722	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,sG19,sG38	3	1	5ss
IPO5_97991695	IPO5	chr13	97991695	97991696	+	0.024638	7776276	97991697	97992891	5887	15036	2.554	2.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
DOCK9_98867063	DOCK9	chr13	98867063	98867064	-	0.192836	7787790	98863549	98867063	597	827	1.385	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	kG19,sG19,sG38	3	1	5ss
PCCA_100157283	PCCA	chr13	100157283	100157284	+	0.012416	7798462	100155093	100157286	10962	239287	21.829	14.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
NAXD_110635134	NAXD	chr13	110635134	110635135	+	0.184207	7848061	110635136	110635467	4461	8818	1.977	1.0	aC19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG38,vG19	3	1	5ss
MCF2L_113061618	MCF2L	chr13	113061618	113061619	+	0.012653	7877006	113061620	113064303	1978	3674	1.857	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
CUL4A_113209778	CUL4A	chr13	113209778	113209779	+	0.268673	7883192	113209776	113209972	11006	286037	25.989	15.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
CUL4A_113209778	CUL4A	chr13	113209778	113209779	+	0.268673	7883197	113209776	113218944	73	83	1.137	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
CUL4A_113261647	CUL4A	chr13	113261647	113261648	+	0.210585	7885941	113261649	113263486	679	854	1.258	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
OXA1L_22769789	OXA1L	chr14	22769789	22769790	+	0.112845	7993030	22768172	22769790	11336	1745042	153.938	110.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG38,vG19	3	1	3ss
OXA1L_22769789	OXA1L	chr14	22769789	22769790	+	0.112845	7992883	22767410	22769790	193	247	1.28	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG38,vG19	3	1	3ss
OXA1L_22769789	OXA1L	chr14	22769789	22769790	+	0.112845	7992797	22766915	22769790	24	28	1.167	1.0	aC19,gC19,gC24,gC25,gC26,gC29,gC33,kG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG38,vG19	3	1	3ss
OXA1L_22769789	OXA1L	chr14	22769789	22769790	+	0.112845	7993042	22768303	22769790	19	19	1.0	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG38,vG19	3	1	3ss
PSME1_24136896	PSME1	chr14	24136896	24136897	+	0.010148	8052439	24136302	24136897	5048	8827	1.749	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG38,sG19,sG38,vG19	3	1	3ss
PSME1_24136896	PSME1	chr14	24136896	24136897	+	0.010148	8052532	24136898	24136984	3907	6303	1.613	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
G2E3_30598399	G2E3	chr14	30598399	30598400	+	0.048678	8097979	30598401	30598482	3741	7165	1.915	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
PPP2R3C_35112044	PPP2R3C	chr14	35112044	35112045	-	0.416638	8143075	35110630	35112044	1451	2088	1.439	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
PPP2R3C_35121116	PPP2R3C	chr14	35121116	35121117	-	0.076043	8143247	35116738	35121116	38	44	1.158	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,sG19,sG38	3	1	5ss
SEC23A_39037465	SEC23A	chr14	39037465	39037466	-	0.004745	8163279	39033329	39037469	2425	3528	1.455	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
SEC23A_39037469	SEC23A	chr14	39037469	39037470	-	0.008412	8163279	39033329	39037469	2425	3528	1.455	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
LRFN5_41888536	LRFN5	chr14	41888536	41888537	+	0.112563	8173534	41888538	41891249	871	1489	1.71	1.0	cH38,rG19,rG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
FKBP3_45132258	FKBP3	chr14	45132258	45132259	-	0.281047	8180573	45130801	45132258	3297	5987	1.816	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
FKBP3_45132258	FKBP3	chr14	45132258	45132259	-	0.281047	8180595	45130816	45132258	26	30	1.154	1.0	cH38	cH38	3	1	5ss
MIS18BP1_45237171	MIS18BP1	chr14	45237171	45237172	-	0.37976	8182211	45235945	45237171	1664	2693	1.618	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG38,vG19	cH38	3	1	5ss
GNPNAT1_52778757	GNPNAT1	chr14	52778757	52778758	-	0.060494	8228870	52778459	52778757	3464	6103	1.762	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
TMEM260_56635275	TMEM260	chr14	56635275	56635276	+	0.113936	8255324	56635277	56636507	5576	12472	2.237	2.0	aC19,cH38,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
DAAM1_59360151	DAAM1	chr14	59360151	59360152	+	0.093475	8270604	59360153	59360801	460	713	1.55	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
C14orf39_60483906	C14orf39	chr14	60483906	60483907	-	0.26499	8277099	60483818	60483906	173	236	1.364	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
PRKCH_61549384	PRKCH	chr14	61549384	61549385	+	0.131901	8284095	61549386	61549684	403	534	1.325	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
TMEM229B_67468440	TMEM229B	chr14	67468440	67468441	-	0.020842	8333103	67467866	67468440	479	646	1.349	1.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,sG19,sG38	cH38	3	1	5ss
PLEKHH1_67569697	PLEKHH1	chr14	67569697	67569698	+	0.406632	8334911	67569699	67569920	2344	4713	2.011	1.0	aC19,cH38,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	3	1	5ss
RDH12_67723003	RDH12	chr14	67723003	67723004	+	0.015434	8339134	67723005	67724472	114	149	1.307	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	3	1	5ss
ZFYVE26_67795342	ZFYVE26	chr14	67795342	67795343	-	0.170233	8340868	67794240	67795342	1299	1991	1.533	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	cH38	3	1	5ss
HEATR4_73508078	HEATR4	chr14	73508078	73508079	-	0.022935	8400386	73506572	73508078	206	247	1.199	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	cH38	3	1	5ss
ACOT4_73594037	ACOT4	chr14	73594037	73594038	+	0.032343	8405349	73594039	73595048	5034	12656	2.514	2.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	3	1	5ss
LIN52_74091137	LIN52	chr14	74091137	74091138	+	0.344638	8420655	74091139	74091231	272	311	1.143	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	3	1	5ss
AHSA1_77458365	AHSA1	chr14	77458365	77458366	+	0.024885	8476312	77458367	77459615	121	134	1.107	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	3	1	5ss
SPTLC2_77565731	SPTLC2	chr14	77565731	77565732	-	0.397402	8479902	77562490	77565731	1455	2146	1.475	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	cH38	3	1	5ss
CEP128_80907316	CEP128	chr14	80907316	80907317	-	0.021511	8489169	80906082	80907316	789	1042	1.321	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	cH38	3	1	5ss
TTC7B_90676901	TTC7B	chr14	90676901	90676902	-	0.096697	8526235	90676661	90676901	271	417	1.539	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	cH38	3	1	5ss
PPP4R3A_91466256	PPP4R3A	chr14	91466256	91466257	-	0.487649	8540098	91465420	91466260	10713	102964	9.611	7.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38	3	1	5ss
SLC24A4_92447369	SLC24A4	chr14	92447369	92447370	+	0.034114	8551518	92445343	92447370	1178	4463	3.789	2.0	cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	3	1	3ss
LINC00521_93997997	LINC00521	chr14	93997997	93997998	+	0.00843	8574610	93997294	93997998	132	159	1.205	1.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
LINC00521_93997997	LINC00521	chr14	93997997	93997998	+	0.00843	8574613	93997572	93997998	3	3	1.0	1.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
CLMN_95210879	CLMN	chr14	95210879	95210880	-	0.314326	8591830	95210880	95213218	10526	222466	21.135	12.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	3	1	3ss
SETD3_99407348	SETD3	chr14	99407348	99407349	-	0.113411	8609875	99406591	99407348	41	55	1.341	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
SLC25A47_100329100	SLC25A47	chr14	100329100	100329101	+	0.190675	8630265	100329102	100329364	53	60	1.132	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	3	1	5ss
TECPR2_102430857	TECPR2	chr14	102430857	102430858	+	0.094408	8668151	102430859	102431795	45	57	1.267	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	3	1	5ss
CDC42BPB_102946684	CDC42BPB	chr14	102946684	102946685	-	0.04884	8685173	102946685	102947720	11197	902635	80.614	64.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	3	1	3ss
MTA1_105468695	MTA1	chr14	105468695	105468696	+	0.029099	8808965	105468692	105469466	2142	3209	1.498	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
TUBGCP5_23008881	TUBGCP5	chr15	23008881	23008882	-	0.05597	9177776	23008882	23009944	11161	164757	14.762	12.0	aC19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
UBE3A_25359983	UBE3A	chr15	25359983	25359984	-	0.004967	9195061	25356897	25359983	1102	1440	1.307	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	cH38	3	1	5ss
GABRA5_26946032	GABRA5	chr15	26946032	26946033	+	0.020542	9199998	26946034	26947933	89	112	1.258	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	3	1	5ss
HERC2_28214346	HERC2	chr15	28214346	28214347	-	0.362797	9204735	28214347	28214470	3	3	1.0	1.0	sG19,sG38	sG19,sG38	3	1	3ss
RYR3_33821521	RYR3	chr15	33821521	33821522	+	0.207015	9256864	33821370	33821522	1630	5270	3.233	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38	3	1	3ss
C15orf41_36694750	C15orf41	chr15	36694750	36694751	+	0.036125	9277735	36694752	36695029	2271	3572	1.573	1.0	sG38	sG38	3	1	5ss
MEIS2_37097266	MEIS2	chr15	37097266	37097267	-	0.145156	9279145	37096431	37097270	351	452	1.288	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,gC19,gC24,gC25,gC26,gC29,gC33,kG38,sG19,sG38	3	1	5ss
SRP14_40037047	SRP14	chr15	40037047	40037048	-	0.229974	9291949	40037048	40038281	81	104	1.284	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	3	1	3ss
SRP14_40037047	SRP14	chr15	40037047	40037048	-	0.229974	9291948	40037048	40037308	9	11	1.222	1.0	cH38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38	3	1	3ss
ITPKA_41501365	ITPKA	chr15	41501365	41501366	+	0.030343	9344725	41501367	41501462	1820	3553	1.952	1.0	aC19,cH38,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
LTK_41511346	LTK	chr15	41511346	41511347	-	0.011181	9345362	41511347	41511421	524	1265	2.414	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
RPAP1_41534935	RPAP1	chr15	41534935	41534936	-	0.063219	9347366	41534936	41535511	10845	181270	16.715	13.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
MAPKBP1_41820080	MAPKBP1	chr15	41820080	41820081	+	0.155693	9353101	41820082	41820831	926	1317	1.422	1.0	aC19,cH38,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
TUBGCP4_43376096	TUBGCP4	chr15	43376096	43376097	+	0.182343	9383052	43371433	43376097	10415	135951	13.053	9.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	3	1	3ss
TUBGCP4_43376096	TUBGCP4	chr15	43376096	43376097	+	0.182343	9383011	43371219	43376097	1913	2674	1.398	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	3	1	3ss
PPIP5K1_43577535	PPIP5K1	chr15	43577535	43577536	-	0.107526	9389462	43577536	43577621	10617	170407	16.05	12.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
CTDSPL2_44493181	CTDSPL2	chr15	44493181	44493182	+	0.11622	9412145	44493183	44496379	1197	1668	1.393	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
SPG11_44569505	SPG11	chr15	44569505	44569506	-	0.245936	9415984	44569506	44570524	11276	477014	42.303	36.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
SLC12A1_48220919	SLC12A1	chr15	48220919	48220920	+	0.340308	9446658	48220766	48220920	702	369101	525.785	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
SLC12A1_48220919	SLC12A1	chr15	48220919	48220920	+	0.340308	9446650	48220758	48220920	127	583	4.591	3.0	aC19,gC19,gC24,gC25,gC26,gC29,gC33,kG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
SECISBP2L_49028020	SECISBP2L	chr15	49028020	49028021	-	0.154567	9452497	49027481	49028020	233	274	1.176	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	cH38	3	1	5ss
COPS2_49139016	COPS2	chr15	49139016	49139017	-	0.021944	9453244	49137459	49139016	1058	1357	1.283	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38	cH38	3	1	5ss
TRPM7_50588190	TRPM7	chr15	50588190	50588191	-	0.059099	9466651	50586489	50588190	6616	18748	2.834	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38	cH38,sG38	3	1	5ss
AP4E1_50909418	AP4E1	chr15	50909418	50909419	+	0.079871	9471429	50909420	50912077	444	527	1.187	1.0	cH38,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	3	1	5ss
AP4E1_50999070	AP4E1	chr15	50999070	50999071	+	0.156523	9472062	50997884	50999071	8579	37821	4.409	3.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	3	1	3ss
AP4E1_50999070	AP4E1	chr15	50999070	50999071	+	0.156523	9472065	50997897	50999071	542	627	1.157	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38	3	1	3ss
SLTM_58933049	SLTM	chr15	58933049	58933050	-	0.066919	9525955	58932444	58933049	5317	13792	2.594	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38,sG38	3	1	5ss
LACTB_63128001	LACTB	chr15	63128001	63128002	+	0.094399	9557020	63128003	63129484	301	351	1.166	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG38,vG19	3	1	5ss
CA12_63339578	CA12	chr15	63339578	63339579	-	0.050542	9560649	63338946	63339578	282	378	1.34	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
